Date,Apple,Miscrosoft,ExxonMobil,Johnson&Johnson,JPMorgan,Amazon,GeneralElectric,Facebook,AT&T,S&P500
2017-01-03,27.17475700378418,37.68349838256836,225.56272888183594,98.92388153076172,73.77665710449219,116.86000061035156,57.64537048339844,20.16200828552246,67.32207489013672,2257.830078125
2017-01-04,27.144344329833984,37.85900115966797,225.63392639160156,98.7616195678711,73.91271209716797,118.69000244140625,57.387454986572266,20.044836044311523,66.58139038085938,2270.75
2017-01-05,27.282377243041992,39.022499084472656,224.35275268554688,99.794921875,73.23236846923828,120.66999816894531,57.387454986572266,19.988597869873047,65.5888442993164,2269.0
2017-01-06,27.58652687072754,39.79949951171875,224.99334716796875,99.31671905517578,73.24085998535156,123.41000366210938,57.88486862182617,19.66439437866211,65.55181121826172,2276.97998046875
2017-01-09,27.839202880859375,39.84600067138672,223.92567443847656,99.29962921142578,73.29190826416016,124.9000015258789,57.70063781738281,19.41692352294922,64.47039031982422,2268.89990234375
2017-01-10,27.867284774780273,39.79499816894531,223.2850341796875,99.19717407226562,73.50450897216797,124.3499984741211,57.682220458984375,19.42168426513672,63.64822006225586,2268.89990234375
2017-01-11,28.017019271850586,39.95100021362305,223.99681091308594,97.97599029541016,74.05729675292969,126.08999633789062,58.207279205322266,19.326501846313477,64.30003356933594,2275.320068359375
2017-01-12,27.900039672851562,40.68199920654297,223.4274139404297,97.88204193115234,73.3429183959961,126.62000274658203,57.673004150390625,19.516860961914062,63.951904296875,2270.43994140625
2017-01-13,27.850906372070312,40.856998443603516,223.21388244628906,97.86495208740234,73.73413848876953,128.33999633789062,57.75590896606445,19.493070602416992,63.95931625366211,2274.639892578125
2017-01-17,28.07550811767578,40.486000061035156,222.57330322265625,98.0955581665039,71.05520629882812,127.87000274658203,57.59930419921875,19.564455032348633,64.70741271972656,2267.889892578125
2017-01-18,28.073169708251953,40.374000549316406,222.28857421875,97.95035552978516,71.38687133789062,127.91999816894531,57.571678161621094,19.41692352294922,63.907466888427734,2271.889892578125
2017-01-19,28.02404022216797,40.45199966430664,222.1461944580078,97.52337646484375,70.84260559082031,127.55000305175781,57.387454986572266,19.512104034423828,62.75938034057617,2263.68994140625
2017-01-20,28.07550811767578,40.416500091552734,217.30613708496094,97.48067474365234,71.15725708007812,127.04000091552734,57.79275894165039,19.72626304626465,63.61858367919922,2271.31005859375
2017-01-23,28.09422492980957,40.89400100708008,211.75425720214844,97.27574157714844,71.19126892089844,128.92999267578125,57.99540328979492,19.988008499145508,62.9371452331543,2265.199951171875
2017-01-24,28.068490982055664,41.12200164794922,213.53370666503906,95.43968963623047,72.05024719238281,129.3699951171875,58.5112419128418,19.68343162536621,63.026023864746094,2280.070068359375
2017-01-25,28.515357971191406,41.82600021362305,216.1672821044922,96.32781219482422,73.16432189941406,131.47999572753906,58.658626556396484,19.697708129882812,63.211204528808594,2298.3701171875
2017-01-26,28.529399871826172,41.95750045776367,215.81137084960938,95.50798797607422,73.77664947509766,132.77999877929688,59.20209503173828,19.878549575805664,63.40378189086914,2296.679931640625
2017-01-27,28.53173828125,41.78850173950195,213.60487365722656,96.8231201171875,73.92973327636719,132.17999267578125,60.59302520751953,19.992769241333008,63.33712387084961,2294.68994140625
2017-01-30,28.456867218017578,41.51900100708008,213.24899291992188,96.609619140625,73.16432189941406,130.97999572753906,59.99428939819336,19.90235137939453,62.85565948486328,2280.89990234375
2017-01-31,28.391359329223633,41.17399978637695,211.39834594726562,96.71211242675781,71.97368621826172,130.32000732421875,59.552154541015625,20.06415367126465,62.13718032836914,2278.8701171875
2017-02-01,30.122684478759766,41.61750030517578,211.32717895507812,96.69503021240234,72.245849609375,133.22999572753906,58.5665168762207,20.01656723022461,61.43352508544922,2279.550048828125
2017-02-02,30.071208953857422,41.997501373291016,211.25599670410156,96.98538208007812,71.9396743774414,130.83999633789062,58.188846588134766,19.59776496887207,61.81128692626953,2280.85009765625
2017-02-03,30.199886322021484,40.5099983215332,211.39834594726562,97.04515838623047,74.1423568725586,130.97999572753906,58.658626556396484,19.631078720092773,61.87793731689453,2297.419921875
2017-02-06,30.482986450195312,40.38199996948242,211.1136474609375,96.8402099609375,73.79367065429688,132.05999755859375,58.621788024902344,19.540658950805664,61.70758819580078,2292.56005859375
2017-02-07,30.77309799194336,40.625,210.4019012451172,96.90851593017578,73.75114440917969,131.83999633789062,58.42835235595703,19.5692138671875,61.30760955810547,2293.080078125
2017-02-08,30.89241600036621,40.98550033569336,209.47654724121094,96.8402099609375,73.10478973388672,134.1999969482422,58.34545135498047,19.612045288085938,60.90398406982422,2294.669921875
2017-02-09,31.115646362304688,41.06800079345703,210.61537170410156,97.4208984375,74.15934753417969,134.13999938964844,59.00865936279297,19.659637451171875,61.17306900024414,2307.8701171875
2017-02-10,31.045150756835938,41.37300109863281,211.5406951904297,98.4114990234375,73.98927307128906,134.19000244140625,58.95339584350586,19.69294548034668,61.681339263916016,2316.10009765625
2017-02-13,31.320077896118164,41.826499938964844,213.81838989257812,98.95803833007812,74.96727752685547,134.0500030517578,59.61662673950195,19.345537185668945,62.04014205932617,2328.25
2017-02-14,31.726600646972656,41.81949996948242,215.52667236328125,99.36796569824219,76.16642761230469,133.85000610351562,59.839054107666016,19.393131256103516,61.90558624267578,2337.580078125
2017-02-15,31.841716766357422,42.1349983215332,216.02490234375,100.08528900146484,77.04239654541016,133.44000244140625,59.80196762084961,19.5692138671875,62.15972137451172,2349.25
