Date,AAPL,ABT,AIG,AMAT,ARNC,BAC,BSX,C,CMCSA,CSCO,DAL,EBAY,F,FB,FCX,FITB,FOXA,FTR,GE,GILD,GLW,GM,HAL,HBAN,HPQ,INTC,JPM,KEY,KMI,KO,MRK,MRO,MSFT,MU,NFLX,NVDA,ORCL,PFE,QCOM,RF,SBUX,T,V,VZ,WFC,XOM,XRX,YAHOY
11/1/2010,28.97544861,18.44922447,31.58389282,10.42353725,26.83917046,10.59119034,6.320000172,39.11256027,7.888305187,18.23689842,12.6047945,12.35690212,10.66194725,,38.15659714,10.12568188,11.8399353,112.2275772,11.97732162,18.30255699,15.404706,,27.8819046,4.547569752,13.76183701,15.73034477,30.03568268,6.865050316,,22.80010414,27.1333847,17.67518997,21.84010506,8.140000343,23.90999985,11.13206387,26.20809746,12.92867279,35.89810181,5.419640064,11.77018547,18.47648048,16.3337059,22.07283401,20.68767929,51.2570076,27.22630501,4.947722912
11/2/2010,29.46888351,18.55130768,31.73456383,10.51622486,27.22992897,10.49909401,6.440000057,39.30105591,7.957567215,18.43581772,12.72422981,12.65572357,10.8117981,,38.71959305,10.174757,11.92153549,114.0418854,11.96981239,18.3434906,15.26314259,,27.86416054,4.515088558,13.8978672,15.55446243,29.66645432,6.99851656,,22.85552979,27.4028511,16.73888779,22.19668388,8.109999657,24.51571465,11.36321259,26.56796837,12.80393219,35.93769455,5.32394743,11.79878521,18.61801529,16.566082,22.34533501,20.71958733,51.93840027,27.48426819,4.899981976
11/3/2010,29.79656601,18.60964775,32.82704926,10.56678295,27.08564186,10.60961151,6.460000038,39.48956299,7.953718185,18.86548424,13.03659153,12.67255878,11.37374496,,38.49360275,10.6736784,12.10921288,116.374527,12.05992508,18.10697937,15.47964287,,28.12149811,4.580052853,14.18936443,15.783741,30.27648926,7.09027338,,22.8887825,27.32798767,16.46995163,21.90493774,8.090000153,24.49428558,11.44642544,26.27107048,12.90666103,36.18319321,5.4805336,11.8886652,18.69521523,16.68861008,22.47477722,21.15124512,52.03794098,27.43736649,4.899981976
11/4/2010,30.31763268,18.55130768,33.70856857,10.86171055,28.03384972,11.17140675,6.489999771,40.80901718,8.103787422,19.26332474,13.02740765,12.689394,11.88323879,,41.18962479,10.95994568,12.03577137,116.8929291,12.39784527,18.02965546,15.75442696,,29.15087318,4.766828537,14.27357388,16.16137886,31.94603729,7.182029247,,23.07352066,27.43278885,16.84845352,21.99407768,8.56000042,23.97428513,11.46491718,26.51398659,12.88441372,38.28181076,5.689315319,12.15422153,18.93968391,16.89774513,22.83585358,21.95061493,53.11743546,27.97673035,4.995464325
11/5/2010,30.20903587,18.56589699,34.364048,10.93754864,28.85837173,11.38322258,6.920000076,42.31697464,8.096094131,19.3031044,13.10090351,12.99242401,12.14547729,,41.56627274,10.65731812,11.83177567,116.6337433,12.56304264,17.71582031,15.72111702,,28.32559586,4.823672295,14.16021347,16.36946869,32.86106873,7.006857395,,23.12154961,26.72169685,16.89327049,21.75906372,8.659999847,24.01428604,11.65908241,26.31605339,12.73614979,38.27388763,5.611021996,12.61179256,18.83031082,16.8576107,22.77453613,23.35749817,53.59210205,27.90637398,4.991992474
11/8/2010,30.3509655,18.39453125,33.62568665,10.78587151,28.77591896,11.60426044,6.789999962,41.84574127,8.046067238,19.40654182,12.94472122,12.97979832,12.29532814,,41.74072647,10.6736784,11.69305801,118.1888733,12.54802799,17.66123772,15.80438805,,29.66556549,4.839915276,14.33187008,16.36176109,32.5159111,6.948465824,,23.07721138,26.66182518,16.89824867,21.72665215,8.239999771,24.16142845,11.70530987,26.12711906,12.63977242,37.85416794,5.515331268,12.51373959,18.77240753,16.62735176,22.59740448,23.21361542,53.83709335,27.50771332,4.991992474
11/9/2010,30.1090126,18.24868774,32.29210663,10.80272388,28.34304237,11.30034065,6.690000057,40.52627182,7.99219799,19.37471581,12.73341465,12.84932613,12.04058361,,40.69800186,10.52645588,11.65225983,118.5776367,12.48044491,17.51569176,15.79606152,,29.47921371,4.750585556,14.28976822,16.30780792,32.02629089,6.873391151,,23.14371681,26.23517036,16.73888779,21.84010506,7.900000095,24.35142899,11.64058971,25.85721779,12.59529495,37.94918823,5.393540859,12.32580853,18.77240753,16.54496193,22.48840714,22.48618698,54.41490173,27.60152054,4.991992474
11/10/2010,30.29476357,18.29243851,32.39006424,10.82800579,28.61101913,11.57663059,6.840000153,41.65724945,7.97680521,19.48610878,12.43942547,13.01767635,12.46016884,,41.36407471,10.82908058,11.79097748,120.7807312,12.42787838,17.61575127,15.6461792,,30.95228958,4.961724758,14.30272388,16.21532822,32.6042099,7.023536205,,23.110466,26.16780853,16.94805908,21.83200455,7.869999886,25.26714325,11.77927399,25.81223106,12.47668266,37.75912857,5.437038898,12.44837093,18.68877602,16.74987602,22.37940216,22.8459053,54.80012894,27.1325016,5.099626541
11/11/2010,30.163311,18.15024185,32.02840424,10.64262104,28.4667263,11.39243507,6.849999905,41.09175491,7.957567215,16.32727432,12.43942547,12.95875454,12.44518375,,42.82310486,10.82908058,11.87257576,118.5776367,12.27769375,17.72945976,15.49629688,,32.22126007,5.002327442,13.95941257,16.34634399,32.12261581,6.898418903,,23.20283508,26.3549366,17.00284004,21.62129974,7.849999905,25.02000046,11.65908241,25.70425987,12.58788109,37.94918823,5.576225758,12.5586834,18.54724693,16.73508453,22.22952652,22.53414917,55.33942032,26.82764626,5.045376301
11/12/2010,29.34219933,17.71271324,31.50099945,10.60891724,27.8071022,11.16219425,6.739999771,40.43202591,7.861367702,16.03287506,12.3659277,12.68518543,12.21291351,,41.20151138,10.52645588,11.70937824,116.6337433,12.20260334,17.19275856,15.29645157,,31.78643608,4.791191578,13.67115116,16.59296799,31.79352379,6.689879894,,23.24717331,25.9806881,16.8036232,21.28904152,7.71999979,24.7142849,12.26006222,25.47933769,12.49150658,37.59282684,5.350046635,12.33398151,18.30921364,16.25344467,22.18183517,22.01456642,54.69225311,26.47588348,5.034524918
