Asset Turnover,Op. In./(NWC+FA),ROCE,P/L,lastyrR,(CA-CL)/TA,Cash Ratio,Ticker,last2yrR,Returns,Open,Debt/Equity,P/B,EBIT/TA,EV/EBIT,P/E,Revenue/Assets,P/S,Book Equity/TL,RE/TA,Gross Profit Margin,RoE,Date,Op. In./Interest Expense
5.891752577319588,0.28692307692307695,0.131320143468703,7.567216059165346,-0.15885286783042407,0.25968109339407747,1.241944004226096,A,0.3547297297297296,0.2030833086273347,40.58,1.0320154291224686,2.7627270973963354,0.10772589217919513,12.630607929515419,12.4238855160451,0.6509111617312073,2.0887634878973462,0.9689777611661372,0.52249430523918,0.5255176436278799,0.2223722275795564,2012-12-20,12.16304347826087
6.575899843505478,0.18474016221087414,0.08833406336691488,15.927777777777777,0.2030833086273347,0.3451372850910957,2.422222222222222,A,-0.15885286783042407,0.12740266140956136,45.75,0.8356099858690532,3.544924634950542,0.07762381318963305,24.242561983471074,32.57954545454545,0.5391326661534513,3.5820442646358877,1.1967305524239007,0.7812419810110341,0.52284626368396,0.10880829015544041,2016-12-20,10.081967213114755
5.907529722589167,0.2295932295932296,0.1200614267764903,17.425384006334124,0.12740266140956136,0.3448848801329219,2.120348376880443,A,0.2030833086273347,0.47562841530054656,67.51,0.7427094105480868,4.551863495346432,0.10206503679088536,24.815418604651164,32.17581871345029,0.5307381913126038,4.921346153846154,1.3464216095795043,-0.014953714692618086,0.5386851520572451,0.14146845915201656,2017-12-21,14.75438596491228
5.978102189781022,0.2583595312946556,0.13337856173677068,18.40926558497011,0.47562841530054656,0.3134293408266011,1.9188727583262168,A,0.12740266140956136,-0.017478892015997727,66.33,0.8685189236490921,4.716090570991031,0.11509190961245756,21.474313326551375,68.21914556962025,0.5753424657534246,4.386904761904762,1.1513853904282116,-0.03933965577801194,0.5453805453805454,0.0691314810763509,2018-12-20,24.43243243243243
6.074117647058824,0.48034711587544665,0.12981551817688552,12.834663461538462,-0.017478892015997727,0.11732966567922133,0.6644230769230769,A,0.47562841530054656,0.26564148952208666,83.95,0.9907329401853412,5.62259898904802,0.10124841303427846,28.966666666666665,24.926330532212884,0.5462336013542107,5.170656595002905,1.0093537414965987,-0.0019043588658484976,0.5432887855897733,0.22556866048862678,2019-12-19,24.763157894736842
1.3179636179888832,0.09861533265788584,-0.04880676168379185,1.1556184159188454,-0.3525938422606496,0.06609254323012781,0.3429574717128365,AA,0.2521785054132559,-0.4785016286644951,16.01,1.4857288481141693,0.5032025144410466,-0.0402569885858793,-6.592275042444822,-2.632755555555556,0.7130749777868909,0.28389245662800733,0.6730703259005146,-0.03793315562846012,0.18173104572031054,-0.191131498470948,2020-02-21,7.239669421487603
1.8545739441874347,0.012911105295297915,-0.12683633354024415,0.4418888469648208,-0.10837438423645318,-0.082475542322416,0.43191654644323607,AAL,0.7964601769911503,0.7635359116022098,15.96,-3.943533241517466,-0.49854268185801925,-0.07822203317737134,-4.6899730288200105,-2.1225268656716416,1.0572096980008507,0.16020359686179844,-0.2535797060037464,-0.4024670353041259,0.2056326694830014,0.23488168273444346,2013-04-16,0.24422442244224424
1.3885975388130225,0.0707423139158576,-0.04720427086260186,0.7329053621613791,0.7635359116022098,0.012228582241354842,0.6700709836303057,AAL,-0.10837438423645318,1.2625313283208017,36.11,-16.480776272427683,-3.7050499560600514,-0.03178958323477932,-13.144710885416666,-5.517170899672847,0.6325512086664459,0.3783603720599783,-0.06067675353818125,-0.26718387813993094,0.25943237482705755,0.6715488831929696,2014-02-28,1.673444976076555
1.8476000693120775,0.1982734484367709,0.13641393648771,2.8092376007162043,1.2625313283208017,-0.038264893001735106,0.544837361981498,AAL,0.7635359116022098,0.4206590972029909,51.3,20.387926768926274,18.631875705096487,0.0941122035858878,11.817114257620453,13.0655866759195,0.9866975130133024,0.8828844267291911,0.049048636054751966,-0.19807981492192017,0.2815005861664713,1.426026719445819,2015-02-25,4.963785046728972
1.4900036350418029,0.25969024696525744,0.15676529732835393,2.021899823594267,0.4206590972029909,-0.07477021584219766,0.45968393972804117,AAL,1.2625313283208017,-0.21988304093567246,40.02,7.591836734693878,4.881623265306123,0.11271300216874935,7.662625453545904,3.6147105256241794,0.8466384385004647,0.6710892193217859,0.13172043010752688,-0.025405349581741198,0.3509880458648451,1.3504880212954746,2016-02-24,7.376932223543401
1.2895150678776597,0.1913730035130926,0.1397518849259398,1.8640861807958478,-0.21988304093567246,-0.0691968639076335,0.45840542099192616,AAL,0.4206590972029909,0.16191904047976013,46.5,12.54663143989432,6.8318635402906205,0.1019425049732808,8.387909603979338,9.663155269058295,0.7836330303857706,0.6435690268790443,0.0797026679862705,0.031985021648398795,0.3326530612244898,0.707001321003963,2017-02-22,5.693965517241379
1.2478627473943085,0.15140996278270827,0.11633312849012745,1.6635184477145462,0.16191904047976013,-0.11768494837548546,0.32986065893996613,AAL,-0.21988304093567246,0.11741935483870969,51.96,-68.67307692307692,-32.75425169230769,0.08248555460831676,10.461028093706936,19.928483868954757,0.8074642417353415,0.5994161775608841,-0.014561747409689163,-0.02548072369044236,0.3057575899770072,-1.6435897435897435,2018-02-21,4.411887382690303
1.3062642970262186,0.10779658265351678,0.06642500706148197,0.9199461206896552,0.11741935483870969,-0.15614064047540444,0.2630415561450044,AAL,0.16191904047976013,-0.31197074672825253,35.75,-359.46153846153845,-98.505,0.046583030703202376,12.884601346562722,11.789904390934844,0.7352426543413668,0.37375328349161446,-0.0027819387973464582,0.0022449653350940903,0.5419950158281134,-8.355029585798816,2019-02-25,2.831556503198294
